issuer_name,filing_date,filing_year,filing_quarter,filing_month,fund_type,asset_class_group,federal_exemption,state_of_incorporation,total_offering_amount,amount_sold,pct_capital_raised,num_investors,investor_bucket,fund_size_bucket,quality_tier,is_duplicate,is_outlier_offering
"ACM Opportunity Fund, LLC",2024-12-27,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,86028366.96,10649157.03,0.1238,69,Large (51-200),Mid ($50M-$250M),Clean,0,0
"Star Mountain Strategic Credit Income Fund V (Offshore), LP",2024-12-27,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),E9,3775279.74,362937.24,0.0961,8,Small (1-10),Small ($1M-$10M),Clean,0,0
"CU-0503 Fund I, a series of Roll Up Vehicles, LP",2024-12-27,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,40336554.08,26035150.61,0.6454,32,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"LEVINE LEICHTMAN CAPITAL PARTNERS VII-A, L.P.",2024-12-27,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,942620.39,322673.26,0.3423,7,Small (1-10),Micro (<$1M),Clean,0,0
Cyprium Investors VI LP,2024-12-27,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,8005553.66,5770062.55,0.7208,29,Mid (11-50),Small ($1M-$10M),Clean,0,0
"MODE MOBILE, INC.",2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(c),DE,37665638.17,9984809.01,0.2651,25,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"MA-1122 Fund I, a series of MV Funds, LP",2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,118518881.8,31826882.83,0.2685,29,Mid (11-50),Mid ($50M-$250M),Clean,0,0
"Partners Income Fund, LP",2024-12-26,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,100000.0,18868.58,0.1887,5,Small (1-10),Micro (<$1M),Clean,0,0
"AUA Tropical Co-Investors, LLC",2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,13540828.87,2009573.59,0.1484,164,Large (51-200),Lower Mid ($10M-$50M),Clean,0,0
VXI VEIR SPV LP,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,415885.12,92307.35,0.222,18,Mid (11-50),Micro (<$1M),Clean,0,0
"SUSTAINABLE ASSET FUND IV (US FEEDER-B), LP",2024-12-26,2024,2024Q4,2024-12,Infrastructure,Real Assets,506(b),DE,20202756.26,11618150.16,0.5751,25,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
BlackRock Asia Property Fund VI SCSp,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(c),N4,75034374.24,45944847.99,0.6123,19,Mid (11-50),Mid ($50M-$250M),Clean,0,0
"MO-1202 Fund I, a series of Socially Financed, LP",2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,7828210.11,704758.35,0.09,46,Mid (11-50),Small ($1M-$10M),Clean,0,0
NATIONWIDE PPVUL SEPARATE ACCOUNT 6,2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),OH,29465635.2,23770738.92,0.8067,8,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"Beaming Health, Inc.",2024-12-26,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,4816172.71,1775613.15,0.3687,82,Large (51-200),Small ($1M-$10M),Clean,0,0
Nationwide PPVUL Separate Account - AC1,2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),OH,7488611.38,2929237.84,0.3912,40,Mid (11-50),Small ($1M-$10M),Clean,0,0
"BradyIFS Management Holdco, LLC",2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,1395214.18,148940.96,0.1068,25,Mid (11-50),Small ($1M-$10M),Clean,0,0
US Alpha Advantage Fund LP,2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),E9,100000.0,89619.31,0.8962,101,Large (51-200),Micro (<$1M),Clean,0,0
MG Emerald Place Investments L.P.,2024-12-26,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,7307788.99,3800284.23,0.52,20,Mid (11-50),Small ($1M-$10M),Clean,0,0
VXI Evoloh SPV LP,2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,1585321.72,906675.99,0.5719,3,Small (1-10),Small ($1M-$10M),Clean,0,0
Unit 1 Packsmith 1 a Series of CGF2021 LLC,2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,27191969.35,16175150.91,0.5949,44,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
EnPlusOne Biosciences Inc.,2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,15252240.44,1735553.57,0.1138,6,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"ST-1205 Fund I, a series of Feld Ventures Fund, LP",2024-12-26,2024,2024Q4,2024-12,Infrastructure,Real Assets,506(b),DE,633590.88,210700.42,0.3325,5,Small (1-10),Micro (<$1M),Clean,0,0
"Opportunistic Private Allocation Fund, LLC - Series B",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,5813071.97,3369327.31,0.5796,11,Mid (11-50),Small ($1M-$10M),Clean,0,0
Ion Blue Ribbon Fund LP,2024-12-26,2024,2024Q4,2024-12,Infrastructure,Real Assets,506(b),DE,395086.2,347698.76,0.8801,12,Mid (11-50),Micro (<$1M),Clean,0,0
"VA-1107 Fund III, a series of Side Door Ventures AL, LP",2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,3013338.61,1388337.4,0.4607,4,Small (1-10),Small ($1M-$10M),Clean,0,0
"SPECTER OPS, INC.",2024-12-26,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,2681233.58,1198752.64,0.4471,31,Mid (11-50),Small ($1M-$10M),Clean,0,0
"Able Channel, Inc.",2024-12-26,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,18384604.92,8205386.36,0.4463,3,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
BCSP 9 PCT REIT LLC,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,333673.38,300589.8,0.9009,9,Small (1-10),Micro (<$1M),Clean,0,0
Parataxis Multi-Strategy Fund LP,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(c),DE,4864428.54,1735618.33,0.3568,27,Mid (11-50),Small ($1M-$10M),Clean,0,0
"Vedanta R2 Partners, LP",2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,19364057.36,13868173.54,0.7162,64,Large (51-200),Lower Mid ($10M-$50M),Clean,0,0
MVP LS FUND DXLVII LLC,2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,15784320.89,7832561.15,0.4962,1,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
Hiive Lightmatter I a Series of Hiive Lightmatter LLC,2024-12-26,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,26296263.41,6749302.37,0.2567,14,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
AFFINITY BIOSENSORS LLC,2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),CA,668067.68,515813.35,0.7721,1,Small (1-10),Micro (<$1M),Clean,0,0
"Vey-Yorktown I, LLC",2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),CA,153676.85,108453.49,0.7057,4,Small (1-10),Micro (<$1M),Clean,0,0
"RO-1126 Fund I, a series of MV Funds, LP",2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,148797623.39,144215889.79,0.9692,59,Large (51-200),Mid ($50M-$250M),Clean,0,0
"TPG Tech Adjacencies III, L.P.",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,100000.0,56189.95,0.5619,14,Mid (11-50),Micro (<$1M),Clean,0,0
"CH-1108 Fund III, a series of Roll Up Vehicles, LP",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,1666811.25,587723.68,0.3526,19,Mid (11-50),Small ($1M-$10M),Clean,0,0
Little Citizens Investments LLC,2024-12-26,2024,2024Q4,2024-12,Infrastructure,Real Assets,506(b),FL,1930327.37,1234129.12,0.6393,10,Small (1-10),Small ($1M-$10M),Minor Issues,1,0
Demesne Resources Ltd.,2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),A1,4281567.64,2810760.23,0.6565,4,Small (1-10),Small ($1M-$10M),Clean,0,0
PER3 RV Nov 2024 Nov 2024 a Series of CGF2021 LLC,2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,2725907.39,2447937.98,0.898,9,Small (1-10),Small ($1M-$10M),Clean,0,0
"PGIM Fixed Income Alternatives Fund II (Cayman), SPC Ltd. for & on behalf of Credit Opportunities (Cayman) Segregated Portfolio",2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),E9,13506686.3,9013023.28,0.6673,3,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"Seed Oil Scout, Inc.",2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,7449027.15,3520602.07,0.4726,170,Large (51-200),Small ($1M-$10M),Clean,0,0
"Solve Therapeutics, Inc.",2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,24375020.11,3064005.06,0.1257,3,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
Unity Growth Series Fund LLC - Fund 014,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,1025438.11,170911.45,0.1667,7,Small (1-10),Small ($1M-$10M),Clean,0,0
Magnetar AI Opportunity LLC,2024-12-26,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,10304451.53,3875283.11,0.3761,105,Large (51-200),Lower Mid ($10M-$50M),Clean,0,0
"Analytica Legalis, Inc.",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),WV,447950.88,159110.7,0.3552,36,Mid (11-50),Micro (<$1M),Clean,0,0
"SA-1007 Fund I, a series of Roll Up Vehicles, LP",2024-12-26,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,15147809.84,10184392.6,0.6723,56,Large (51-200),Lower Mid ($10M-$50M),Clean,0,0
OP Equity Partners LLC,2024-12-26,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(c),KS,137028.39,118623.69,0.8657,291,Institutional (201-500),Micro (<$1M),Clean,0,0
GoodFinch Sunstrong Partners LP,2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,885032.99,461075.74,0.521,16,Mid (11-50),Micro (<$1M),Clean,0,0
"Solar Securitization Program-Offshore SMA, LP",2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,1412123.42,1400623.95,0.9919,5,Small (1-10),Small ($1M-$10M),Clean,0,0
"IN-1119 Fund II, a series of Fountain Head VC, LP",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,4021631.76,2022545.44,0.5029,21,Mid (11-50),Small ($1M-$10M),Clean,0,0
"Mattiq, Inc.",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,1031430013.31,786939691.25,0.763,20,Mid (11-50),Mega (>$1B),Clean,0,0
Horizon Inclusive Growth Partners I Offshore LP,2024-12-26,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(c),E9,73656720.59,54811328.39,0.7441,96,Large (51-200),Mid ($50M-$250M),Clean,0,0
"Argentarii PC - MM Holdings, LLC",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,1019846.59,989217.67,0.97,4,Small (1-10),Small ($1M-$10M),Clean,0,0
"C2 Capital Group, Inc.",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),NV,1023182.25,120826.15,0.1181,3,Small (1-10),Small ($1M-$10M),Clean,0,0
TakenOti Bio Nov 2024 a Series of CGF2021 LLC,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,32674961.38,11447009.48,0.3503,180,Large (51-200),Lower Mid ($10M-$50M),Clean,0,0
Nationwide PPVUL Separate Account 7,2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),OH,3723444.5,3654051.99,0.9814,145,Large (51-200),Small ($1M-$10M),Clean,0,0
MF INCOME FUND 1 LLC,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(c),TX,24897449.47,11362936.51,0.4564,42,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"Cornami, Inc.",2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,26610175.08,4950330.41,0.186,151,Large (51-200),Lower Mid ($10M-$50M),Clean,0,0
DFS Cornerstone I LLC,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),TX,27975637.67,18982098.42,0.6785,9,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"SUSTAINABLE ASSET FUND IV (US FEEDER), LP",2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,577431.14,158358.75,0.2742,11,Mid (11-50),Micro (<$1M),Clean,0,0
CFX Labs Inc.,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,1929618.38,1633394.16,0.8465,11,Mid (11-50),Small ($1M-$10M),Clean,0,0
MVP LS FUND DXXXVIII LLC,2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,128284394.91,27707474.3,0.216,75,Large (51-200),Mid ($50M-$250M),Clean,0,0
"Pivot Global Enso, a series of GCRx Master LLC",2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,16281660.42,11304083.57,0.6943,32,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"Socialsuite Holdings, Inc.",2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,14375636.88,9504139.98,0.6611,25,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
Elementum Opportunities Fund Ltd. - Class 7 Sub-Fund - Series 2025,2024-12-26,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),D0,8484507.03,6662534.85,0.7853,1,Small (1-10),Small ($1M-$10M),Clean,0,0
"Ascend Unison Co-Invest 1-A, L.P.",2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,9256809.11,1172175.17,0.1266,121,Large (51-200),Small ($1M-$10M),Clean,0,0
BCSP 9 OBS Holdings LLC,2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,4355671.65,2819304.22,0.6473,53,Large (51-200),Small ($1M-$10M),Clean,0,0
NATIONWIDE PRIVATE PLACEMENT VARIABLE ACCOUNT,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),OH,549138939.93,416878714.54,0.7591,64,Large (51-200),Large ($250M-$1B),Clean,0,0
HAWTHORN SENIOR APARTMENTS LP,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),CA,182334.13,48039.08,0.2635,10,Small (1-10),Micro (<$1M),Clean,0,0
"Blue Jay Bend Partners, LLC",2024-12-26,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,233427500.05,183157066.79,0.7846,11,Mid (11-50),Mid ($50M-$250M),Clean,0,0
"Brixton Parkside TIC, LLC",2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,17192101.37,15320807.22,0.8912,3,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"Stellar Wealth Partners India Fund I, LP",2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,52113086.1,21245013.64,0.4077,91,Large (51-200),Mid ($50M-$250M),Clean,0,0
INVEXT 280 EARTH A SERIES OF INVEXT LLC,2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,2787666.94,971824.58,0.3486,88,Large (51-200),Small ($1M-$10M),Clean,0,0
"SUSTAINABLE ASSET FUND IV, LP",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,40712989.26,24350082.36,0.5981,29,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
EnPlusOne Biosciences Inc.,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,187150489.29,74591689.6,0.3986,3,Small (1-10),Mid ($50M-$250M),Minor Issues,1,0
"Gloss Ventures Holdings, Inc.",2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,6630166.5,4039384.52,0.6092,18,Mid (11-50),Small ($1M-$10M),Clean,0,0
"Launchpad Vision, Inc.",2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,2132353.75,1212883.41,0.5688,2,Small (1-10),Small ($1M-$10M),Clean,0,0
"Opportunistic Private Allocation Fund, LLC - Series A",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,100000.0,6049.49,0.0605,15,Mid (11-50),Micro (<$1M),Clean,0,0
"iCapital-General Atlantic Investment Partners 2025 Offshore Access Fund, L.P.",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),E9,82533704.76,17103530.04,0.2072,8,Small (1-10),Mid ($50M-$250M),Clean,0,0
RX REDEFINED INC.,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,377932291.2,316649416.53,0.8378,17,Mid (11-50),Large ($250M-$1B),Clean,0,0
"MVP HD 2023, a series of MVP Co-Invests 2023 LLC",2024-12-26,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,4842515695.28,4118149154.19,0.8504,36,Mid (11-50),Mega (>$1B),Minor Issues,0,1
Verdane Yellow Garden Invest (D) AB,2024-12-26,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),V7,34958404.34,14336129.86,0.4101,14,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"Skyles Creek Coal Opportunity Fund, L.P.",2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(c),DE,228894489.62,115525913.53,0.5047,17,Mid (11-50),Mid ($50M-$250M),Clean,0,0
"PGIM Fixed Income Alternatives Fund II, L.P.-Credit Opportunities (U.S.) Series",2024-12-26,2024,2024Q4,2024-12,Infrastructure,Real Assets,506(b),DE,114514782.66,90450419.88,0.7899,36,Mid (11-50),Mid ($50M-$250M),Clean,0,0
"Velocis Secondary Partners IV, LP",2024-12-26,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,6281573.83,2186099.72,0.348,15,Mid (11-50),Small ($1M-$10M),Clean,0,0
Gemcorp Commodities Alternative Products Fund,2024-12-26,2024,2024Q4,2024-12,Infrastructure,Real Assets,506(b),DE,91946312.04,26476728.99,0.288,20,Mid (11-50),Mid ($50M-$250M),Clean,0,0
"Fengate Bolden US II REIT, LLC",2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,1840468.63,456613.96,0.2481,10,Small (1-10),Small ($1M-$10M),Clean,0,0
Nationwide PPVUL Separate Account - 4,2024-12-26,2024,2024Q4,2024-12,Infrastructure,Real Assets,506(b),OH,84481536.94,49757768.83,0.589,9,Small (1-10),Mid ($50M-$250M),Clean,0,0
Private Credit Managers (2025) Offshore LP,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),E9,46885412.68,20329569.25,0.4336,28,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"Harraden Circle Special Opportunities Offshore, LP",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),E9,3061136.14,2514584.61,0.8215,5,Small (1-10),Small ($1M-$10M),Clean,0,0
Pan Asia Realty Core Plus SCSp-RAIF,2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),N4,48797489.84,17209877.45,0.3527,40,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"WCP GXP Holdco, L.P.",2024-12-26,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,29047052.87,6205501.97,0.2136,1,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"Ablative Solutions, Inc.",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,2657970.84,1657642.86,0.6236,123,Large (51-200),Small ($1M-$10M),Clean,0,0
"Webster Equity Partners VI, L.P.",2024-12-26,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,41913115.59,2720808.53,0.0649,4,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
Elementum Opportunities Fund Ltd. - Class 3 Sub-Fund - Series 2025,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),D0,6820254.1,2655328.65,0.3893,80,Large (51-200),Small ($1M-$10M),Clean,0,0
Elementum Opportunities Fund Ltd. - Class 4 Sub-Fund - Series 2025,2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),D0,569314.87,167304.86,0.2939,2,Small (1-10),Micro (<$1M),Clean,0,0
LCP Lemon Lane LLC,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,5553886.05,964397.58,0.1736,22,Mid (11-50),Small ($1M-$10M),Clean,0,0
Supernova Industries Corp.,2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,1127558.62,1053178.02,0.934,8,Small (1-10),Small ($1M-$10M),Clean,0,0
Trophy Point Investment Group,2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(c),GA,70543932.42,43794667.68,0.6208,46,Mid (11-50),Mid ($50M-$250M),Clean,0,0
Deako Inc Dec 2024 a Series of CGF2021 LLC,2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,506540.43,417987.7,0.8252,19,Mid (11-50),Micro (<$1M),Clean,0,0
"My Stepping Stone, Inc.",2024-12-26,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),DE,2156144.43,1773209.32,0.8224,253,Institutional (201-500),Small ($1M-$10M),Clean,0,0
Orange Holding Co LLC,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,26740898.64,9641960.7,0.3606,38,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"Content Raven, Inc.",2024-12-26,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),DE,128394.09,71774.28,0.559,12,Mid (11-50),Micro (<$1M),Clean,0,0
Emerging Markets Alpha Advantage Fund - Strategic Screened Ltd.,2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),E9,1254877.13,734300.59,0.5852,1,Small (1-10),Small ($1M-$10M),Clean,0,0
"WP SAFStor IV REIT, LLC",2024-12-26,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,2206497.25,1746694.89,0.7916,111,Large (51-200),Small ($1M-$10M),Clean,0,0
MG Lakeridge Living Investments L.P.,2024-12-26,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,24721225.19,3090907.1,0.125,9,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"Spark GHC Buckeye, L.P.",2024-12-26,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),DE,1461587.32,886331.68,0.6064,23,Mid (11-50),Small ($1M-$10M),Clean,0,0
"BBH Principals, L.P.",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),NY,272958.32,171066.92,0.6267,23,Mid (11-50),Micro (<$1M),Clean,0,0
NPM INVESTORS LLC,2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,516679.15,243128.17,0.4706,57,Large (51-200),Micro (<$1M),Clean,0,0
Elementum Opportunities Fund Ltd. - Class 6 Sub-Fund - Series 2025,2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),D0,59519277.29,49416789.42,0.8303,4,Small (1-10),Mid ($50M-$250M),Clean,0,0
"Cariina, Inc.",2024-12-26,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,34682302.96,16724192.22,0.4822,61,Large (51-200),Lower Mid ($10M-$50M),Clean,0,0
BlackRock Absolute Macro Fund Ltd.,2024-12-26,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),E9,893229.85,380690.36,0.4262,4,Small (1-10),Micro (<$1M),Clean,0,0
Castellan Holdings LLC,2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,110046644.29,35158969.35,0.3195,3,Small (1-10),Mid ($50M-$250M),Clean,0,0
"PCCP Credit XI (PF) RT, LLC",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,102982303.27,102147138.09,0.9919,1,Small (1-10),Mid ($50M-$250M),Clean,0,0
"VWI Springdale, LLC",2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(c),CO,5370991.12,4954717.39,0.9225,89,Large (51-200),Small ($1M-$10M),Clean,0,0
"Central Bancshares, Inc. /AR/",2024-12-26,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),AR,181199622.52,165001064.53,0.9106,26,Mid (11-50),Mid ($50M-$250M),Clean,0,0
LIFE Korea Engagement Feeder II,2024-12-26,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),E9,1986544.13,586895.0,0.2954,299,Institutional (201-500),Small ($1M-$10M),Clean,0,0
"Calyxo, Inc.",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,100000.0,64755.71,0.6476,11,Mid (11-50),Micro (<$1M),Clean,0,0
Raventek Investment Partners III LLC,2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),VA,658871.12,405443.86,0.6154,44,Mid (11-50),Micro (<$1M),Clean,0,0
"MDWerks, Inc.  (MDWK)",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,10603143.91,6192642.79,0.584,4,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"MedVanta, LLC",2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,8672038.76,3613774.02,0.4167,8,Small (1-10),Small ($1M-$10M),Clean,0,0
MY HedgeAccess Fund I LLC,2024-12-26,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,3C Fund,DE,1022083.58,850158.21,0.8318,34,Mid (11-50),Small ($1M-$10M),Clean,0,0
"Searchlight Capital III CVL Co-Invest Partners II, L.P.",2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,100000.0,7392.77,0.0739,86,Large (51-200),Micro (<$1M),Clean,0,0
ZeroCarb Inc.,2024-12-26,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,986638.07,940232.26,0.953,45,Mid (11-50),Micro (<$1M),Clean,0,0
